ид;Фамилия;Имя;отчество;Login;Password;Role
0;Алексеев ;Владислав;Аркадьевич;loginDEbct2018;Qg3gff;0
1;Савельева ;Евфросиния;Арсеньевна;loginDEvtg2018;ETMNzL;2
2;Никонов ;Мэлс;Лукьевич;loginDEuro2018;a1MIcO;0
3;Горшкова ;Агафья;Онисимовна;loginDEpst2018;0CyGnX;0
4;Горбачёв ;Пантелеймон;Германович;loginDEpsu2018;Vx9cQ{;1
5;Ершова ;Иванна;Максимовна;loginDEzqs2018;qM9p7i;1
6;Туров ;Денис;Геласьевич;loginDEioe2018;yMPu&2;1
7;Носова ;Наина;Эдуардовна;loginDEcmk2018;3f+b0+;2
8;Куликов ;Андрей;Святославович;loginDEfsp2018;&dtlI+;0
9;Нестеров ;Агафон;Георгьевич;loginDExcd2018;SZXZNL;0
10;Козлов ;Геласий;Христофорович;loginDEvlf2018;O5mXc2;1
11;Борисова ;Анжелика;Анатольевна;loginDEanv2018;Xiq}M3;2
12;Суханов ;Станислав;Фролович;loginDEzde2018;tlO3x&;1
13;Тетерина ;Феврония;Эдуардовна;loginDEriv2018;GJ2mHL;1
14;Муравьёва ;Александра;Ростиславовна;loginDEhcp2018;n2nfRl;1
15;Новикова ;Лукия;Ярославовна;loginDEwjv2018;ZfseKA;1
16;Агафонова ;Лариса;Михаиловна;loginDEiry2018;5zu7+};1
17;Сергеева ;Агата;Юрьевна;loginDEgbr2018;}+Ex1*;1
18;Колобова ;Елена;Евгеньевна;loginDExxv2018;+daE|T;1
19;Ситников ;Николай;Филатович;loginDEbto2018;b1iYMI;0
20;Белов ;Роман;Иринеевич;loginDEfbs2018;v90Rep;1
21;Волкова ;Алла;Лукьевна;loginDEple2018;WlW+l8;2
22;Кудрявцева ;Таисия;Игоревна;loginDEhhx2018;hmCHeQ;1
23;Семёнова ;Октябрина;Христофоровна;loginDEayn2018;Ka2Fok;1
24;Смирнов ;Сергей;Яковович;loginDEwld2018;y9HStF;1
25;Брагина ;Алина;Валерьевна;loginDEhuu2018;X31OEf;0
26;Евсеев ;Игорь;Донатович;loginDEmjb2018;5mm{ch;1
27;Суворов ;Илья;Евсеевич;loginDEdgp2018;1WfJjo;1
28;Котов ;Денис;Мартынович;loginDEgyi2018;|7nYPc;2
29;Бобылёва ;Юлия;Егоровна;loginDEmvn2018;Mrr9e0;0
30;Брагин ;Бронислав;Георгьевич;loginDEfoj2018;nhGc+D;2
31;Александров ;Владимир;Дамирович;loginDEuuo2018;42XmH1;0
32;Фокин ;Ириней;Ростиславович;loginDEhsj2018;s+jrMW;0
33;Воронов ;Митрофан;Антонович;loginDEvht2018;zMyS8Z;0
34;Маслов ;Мстислав;Антонинович;loginDEeqo2018;l5CBqA;0
35;Щербаков ;Георгий;Богданович;loginDExrf2018;mhpRIT;0
36;Кириллова ;Эмилия;Федосеевна;loginDEfku2018;a1m+8c;1
37;Васильев ;Серапион;Макарович;loginDExix2018;hzxtnn;2
38;Галкина ;Олимпиада;Владленовна;loginDEqrf2018;mI8n58;1
39;Яковлева ;Ксения;Онисимовна;loginDEhlk2018;g0jSed;0
40;Калашникова ;Александра;Владимировна;loginDEwoe2018;yOtw2F;2
41;Медведьева ;Таисия;Тихоновна;loginDExyu2018;7Fg}9p;0
42;Карпова ;Ольга;Лукьевна;loginDEcor2018;2cIrC8;0
43;Герасимов ;Мстислав;Дамирович;loginDEqon2018;YeFbh6;1
44;Тимофеева ;Ксения;Валерьевна;loginDEyfd2018;8aKdb0;0
45;Горбунов ;Вячеслав;Станиславович;loginDEtto2018;qXYDuu;1
46;Кошелева ;Кира;Владиславовна;loginDEdal2018;cJWXL0;1
47;Панфилова ;Марина;Борисовна;loginDEbjs2018;Xap2ct;1
48;Кудрявцев ;Матвей;Игоревич;loginDEdof2018;kD|LRU;1
49;Зуев ;Эдуард;Пантелеймонович;loginDEsnh2018;Password;1
